จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
กรุงเทพมหานคร,Bangkok,2568,N/A,N/A,39.29,39.29,23.24,23.24,17.52,17.52,17.02,17.02,8.75,8.75,2.93,2.93,12.05,12.05,11.52,11.52,11,11,10.98,10.98
สมุทรปราการ,Samut Prakan,2568,N/A,N/A,26.1,26.1,27.3,27.3,24.43,24.43,20.97,20.97,7.1,7.1,1.21,1.21,10.97,10.97,10.6,10.6,10.22,10.22,9.94,9.94
นนทบุรี,Nonthaburi,2568,N/A,N/A,42.63,42.63,22.49,22.49,10.9,10.9,23.59,23.59,9.27,9.27,0.39,0.39,12.41,12.41,12.09,12.09,11.75,11.75,11.56,11.56
ปทุมธานี,Pathum Thani,2568,N/A,N/A,33.76,33.76,24.25,24.25,11.5,11.5,26.54,26.54,7.72,7.72,3.95,3.95,11.44,11.44,11.21,11.21,10.92,10.92,10.56,10.56
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2568,N/A,N/A,31.22,31.22,28.1,28.1,15.84,15.84,23.75,23.75,6.66,6.66,1.09,1.09,11.7,11.7,11.07,11.07,10.39,10.39,9.91,9.91
อ่างทอง,Ang Thong,2568,N/A,N/A,24.86,24.86,29.94,29.94,18.55,18.55,25.78,25.78,6.55,6.55,0.87,0.87,11.45,11.45,10.72,10.72,9.91,9.91,9.62,9.62
ลพบุรี,Lopburi,2568,N/A,N/A,26.93,26.93,24.79,24.79,21.6,21.6,25.48,25.48,6.4,6.4,1.2,1.2,11.47,11.47,10.59,10.59,9.62,9.62,9.5,9.5
สิงห์บุรี,Singburi,2568,N/A,N/A,34.33,34.33,30.79,30.79,13.69,13.69,19.87,19.87,7.28,7.28,1.32,1.32,12.17,12.17,11.42,11.42,10.61,10.61,10.33,10.33
ชัยนาท,Chainat,2568,N/A,N/A,27,27,26.03,26.03,23.8,23.8,21.71,21.71,5.8,5.8,1.47,1.47,11.45,11.45,10.45,10.45,9.38,9.38,9.22,9.22
สระบุรี,Saraburi,2568,N/A,N/A,27.68,27.68,26.58,26.58,18.77,18.77,25.22,25.22,5.91,5.91,1.75,1.75,11.08,11.08,10.59,10.59,10.03,10.03,9.39,9.39
ชลบุรี,Chonburi,2568,N/A,N/A,27.15,27.15,29.75,29.75,14.24,14.24,25.83,25.83,6.32,6.32,3.04,3.04,11.13,11.13,10.77,10.77,10.36,10.36,9.85,9.85
ระยอง,Rayong,2568,N/A,N/A,24.54,24.54,31.75,31.75,20.39,20.39,21.41,21.41,6.08,6.08,1.9,1.9,10.97,10.97,10.53,10.53,9.95,9.95,9.76,9.76
จันทบุรี,Chanthaburi,2568,N/A,N/A,23.43,23.43,22.44,22.44,27.08,27.08,25,25,5.6,5.6,2.05,2.05,11.05,11.05,10.18,10.18,9.19,9.19,9.29,9.29
ตราด,Trat,2568,N/A,N/A,23.38,23.38,20.48,20.48,24.05,24.05,22.3,22.3,5.49,5.49,9.79,9.79,10.34,10.34,9.45,9.45,8.47,8.47,8.68,8.68
ฉะเชิงเทรา,Chachoengsao,2568,N/A,N/A,23.23,23.23,33.89,33.89,15.65,15.65,26.35,26.35,6.03,6.03,0.87,0.87,11.43,11.43,10.78,10.78,9.9,9.9,9.96,9.96
